image_fn,label_fn,gt_label_fn
dataset/Poland_dataset/HR_image/malopolskie_6.tif,dataset/Poland_dataset/ESA_GLC10_label/malopolskie_6_esa.tif,dataset/Poland_dataset/HR_ground_truth/malopolskie_6.tif
dataset/Poland_dataset/HR_image/dolnoslaskie_17.tif,dataset/Poland_dataset/ESA_GLC10_label/dolnoslaskie_17_esa.tif,dataset/Poland_dataset/HR_ground_truth/dolnoslaskie_17.tif
dataset/Poland_dataset/HR_image/lubuskie_8.tif,dataset/Poland_dataset/ESA_GLC10_label/lubuskie_8_esa.tif,dataset/Poland_dataset/HR_ground_truth/lubuskie_8.tif
dataset/Poland_dataset/HR_image/zachodniopomorskie_11.tif,dataset/Poland_dataset/ESA_GLC10_label/zachodniopomorskie_11_esa.tif,
dataset/Poland_dataset/HR_image/malopolskie_11.tif,dataset/Poland_dataset/ESA_GLC10_label/malopolskie_11_esa.tif,dataset/Poland_dataset/HR_ground_truth/malopolskie_11.tif
dataset/Poland_dataset/HR_image/malopolskie_27.tif,dataset/Poland_dataset/ESA_GLC10_label/malopolskie_27_esa.tif,
dataset/Poland_dataset/HR_image/dolnoslaskie_3.tif,dataset/Poland_dataset/ESA_GLC10_label/dolnoslaskie_3_esa.tif,dataset/Poland_dataset/HR_ground_truth/dolnoslaskie_3.tif
dataset/Poland_dataset/HR_image/kujawsko-pomorskie_13.tif,dataset/Poland_dataset/ESA_GLC10_label/kujawsko-pomorskie_13_esa.tif,dataset/Poland_dataset/HR_ground_truth/kujawsko-pomorskie_13.tif
dataset/Poland_dataset/HR_image/dolnoslaskie_35.tif,dataset/Poland_dataset/ESA_GLC10_label/dolnoslaskie_35_esa.tif,dataset/Poland_dataset/HR_ground_truth/dolnoslaskie_35.tif
dataset/Poland_dataset/HR_image/mazowieckie_3.tif,dataset/Poland_dataset/ESA_GLC10_label/mazowieckie_3_esa.tif,
dataset/Poland_dataset/HR_image/pomorskie_40.tif,dataset/Poland_dataset/ESA_GLC10_label/pomorskie_40_esa.tif,dataset/Poland_dataset/HR_ground_truth/pomorskie_40.tif
dataset/Poland_dataset/HR_image/slaskie_9.tif,dataset/Poland_dataset/ESA_GLC10_label/slaskie_9_esa.tif,
dataset/Poland_dataset/HR_image/wielkopolskie_36.tif,dataset/Poland_dataset/ESA_GLC10_label/wielkopolskie_36_esa.tif,dataset/Poland_dataset/HR_ground_truth/wielkopolskie_36.tif
dataset/Poland_dataset/HR_image/mazowieckie_22.tif,dataset/Poland_dataset/ESA_GLC10_label/mazowieckie_22_esa.tif,dataset/Poland_dataset/HR_ground_truth/mazowieckie_22.tif
dataset/Poland_dataset/HR_image/podkarpackie_13.tif,dataset/Poland_dataset/ESA_GLC10_label/podkarpackie_13_esa.tif,dataset/Poland_dataset/HR_ground_truth/podkarpackie_13.tif
dataset/Poland_dataset/HR_image/kujawsko-pomorskie_10.tif,dataset/Poland_dataset/ESA_GLC10_label/kujawsko-pomorskie_10_esa.tif,dataset/Poland_dataset/HR_ground_truth/kujawsko-pomorskie_10.tif
dataset/Poland_dataset/HR_image/swietokrzyskie_10.tif,dataset/Poland_dataset/ESA_GLC10_label/swietokrzyskie_10_esa.tif,
